Time,C1
0,264
1,181.5
2,181.5
3,181.5
4,245.15
5,264
6,181.5
7,181.5
8,181.5
9,181.5
10,181.5
11,181.5
12,181.5
13,181.5
14,183.4
15,181.5
16,181.5
17,181.5
18,181.5
19,181.5
20,181.5
21,181.5
22,181.5
23,181.5
24,181.5
25,181.5
26,181.5
27,181.5
28,181.5
29,181.5
30,181.5
31,181.5
32,202
33,284.5
34,247.5
35,330
36,330
37,330
38,330
39,316.75
40,330
41,330
42,330
43,330
44,330
45,330
46,330
47,330
48,330
49,330
50,330
51,330
52,330
53,330
54,330
55,330
56,330
57,330
58,330
59,330
60,247.5
61,330
62,330
63,330
64,330
65,330
66,330
67,330
68,330
69,330
70,330
71,330
72,330
73,330
74,330
75,330
76,330
77,330
78,330
79,330
80,247.5
81,247.5
82,330
83,330
84,330
85,330
86,330
87,330
88,330
89,330
90,330
91,330
92,330
93,330
94,247.5
95,258
